Test: partitions, many clients (3A) ...
2024/09/30 16:51:51 server[2] append entries successfully, rf.nextIndex[2]: 183
2024/09/30 16:51:51 server[4] append entries successfully, rf.nextIndex[4]: 183
2024/09/30 16:51:51 server[3] append entries successfully, rf.nextIndex[3]: 183
2024/09/30 16:51:51 server[4] append entries successfully, rf.nextIndex[4]: 183
2024/09/30 16:51:51 server[2] append entries successfully, rf.nextIndex[2]: 183
2024/09/30 16:51:51 server[3] append entries successfully, rf.nextIndex[3]: 183
2024/09/30 16:51:51 server[3] append entries successfully, rf.nextIndex[3]: 183
2024/09/30 16:51:51 server[4] append entries successfully, rf.nextIndex[4]: 183
2024/09/30 16:51:51 server[2] append entries successfully, rf.nextIndex[2]: 183
2024/09/30 16:51:51 server[4] append entries successfully, rf.nextIndex[4]: 184
2024/09/30 16:51:51 server[3] append entries successfully, rf.nextIndex[3]: 184
2024/09/30 16:51:51 server[2] append entries successfully, rf.nextIndex[2]: 184
2024/09/30 16:51:51 server[4] append entries successfully, rf.nextIndex[4]: 186
2024/09/30 16:51:51 server[3] append entries successfully, rf.nextIndex[3]: 186
2024/09/30 16:51:51 server[2] append entries successfully, rf.nextIndex[2]: 186
2024/09/30 16:51:51 server[2] append entries successfully, rf.nextIndex[2]: 191
2024/09/30 16:51:51 server[3] append entries successfully, rf.nextIndex[3]: 191
2024/09/30 16:51:51 server[4] append entries successfully, rf.nextIndex[4]: 191
2024/09/30 16:51:51 server[2] append entries successfully, rf.nextIndex[2]: 193
2024/09/30 16:51:51 server[4] append entries successfully, rf.nextIndex[4]: 193
2024/09/30 16:51:51 server[3] append entries successfully, rf.nextIndex[3]: 193
2024/09/30 16:51:52 server[2] append entries successfully, rf.nextIndex[2]: 198
2024/09/30 16:51:52 server[4] append entries successfully, rf.nextIndex[4]: 198
2024/09/30 16:51:52 server[3] append entries successfully, rf.nextIndex[3]: 198
2024/09/30 16:51:52 server[3] append entries successfully, rf.nextIndex[3]: 200
2024/09/30 16:51:52 server[2] append entries successfully, rf.nextIndex[2]: 200
2024/09/30 16:51:52 server[4] append entries successfully, rf.nextIndex[4]: 200
2024/09/30 16:51:52 server[4] append entries successfully, rf.nextIndex[4]: 205
2024/09/30 16:51:52 server[3] append entries successfully, rf.nextIndex[3]: 205
2024/09/30 16:51:52 server[2] append entries successfully, rf.nextIndex[2]: 205
2024/09/30 16:51:52 server[4] append entries successfully, rf.nextIndex[4]: 207
2024/09/30 16:51:52 server[3] append entries successfully, rf.nextIndex[3]: 207
2024/09/30 16:51:52 server[2] append entries successfully, rf.nextIndex[2]: 207
2024/09/30 16:51:52 server[4] append entries successfully, rf.nextIndex[4]: 212
2024/09/30 16:51:52 server[2] append entries successfully, rf.nextIndex[2]: 212
2024/09/30 16:51:52 server[3] append entries successfully, rf.nextIndex[3]: 212
2024/09/30 16:51:52 server[3] append entries successfully, rf.nextIndex[3]: 214
2024/09/30 16:51:52 server[4] append entries successfully, rf.nextIndex[4]: 214
2024/09/30 16:51:52 server[2] append entries successfully, rf.nextIndex[2]: 214
2024/09/30 16:51:52 server[2] append entries successfully, rf.nextIndex[2]: 219
2024/09/30 16:51:52 server[3] append entries successfully, rf.nextIndex[3]: 219
2024/09/30 16:51:52 server[4] append entries successfully, rf.nextIndex[4]: 219
2024/09/30 16:51:52 server[3] append entries successfully, rf.nextIndex[3]: 221
2024/09/30 16:51:52 server[4] append entries successfully, rf.nextIndex[4]: 221
2024/09/30 16:51:52 server[2] append entries successfully, rf.nextIndex[2]: 221
2024/09/30 16:51:53 server[4] append entries successfully, rf.nextIndex[4]: 226
2024/09/30 16:51:53 server[2] append entries successfully, rf.nextIndex[2]: 226
2024/09/30 16:51:53 server[3] append entries successfully, rf.nextIndex[3]: 226
2024/09/30 16:51:53 server[4] append entries successfully, rf.nextIndex[4]: 228
2024/09/30 16:51:53 server[2] append entries successfully, rf.nextIndex[2]: 228
2024/09/30 16:51:53 server[3] append entries successfully, rf.nextIndex[3]: 228
2024/09/30 16:51:53 server[3] append entries successfully, rf.nextIndex[3]: 233
2024/09/30 16:51:53 server[4] append entries successfully, rf.nextIndex[4]: 233
2024/09/30 16:51:53 server[2] append entries successfully, rf.nextIndex[2]: 233
2024/09/30 16:51:53 server[3] append entries successfully, rf.nextIndex[3]: 235
2024/09/30 16:51:53 server[2] append entries successfully, rf.nextIndex[2]: 235
2024/09/30 16:51:53 server[4] append entries successfully, rf.nextIndex[4]: 235
2024/09/30 16:51:53 server[2] append entries successfully, rf.nextIndex[2]: 240
2024/09/30 16:51:53 server[4] append entries successfully, rf.nextIndex[4]: 240
2024/09/30 16:51:53 server[3] append entries successfully, rf.nextIndex[3]: 240
2024/09/30 16:51:53 server[4] append entries successfully, rf.nextIndex[4]: 242
2024/09/30 16:51:53 server[2] append entries successfully, rf.nextIndex[2]: 242
2024/09/30 16:51:53 server[4] append entries successfully, rf.nextIndex[4]: 247
2024/09/30 16:51:53 server[2] append entries successfully, rf.nextIndex[2]: 247
2024/09/30 16:51:53 server[4] append entries successfully, rf.nextIndex[4]: 249
2024/09/30 16:51:53 server[2] append entries successfully, rf.nextIndex[2]: 249
2024/09/30 16:51:54 server[2] append entries successfully, rf.nextIndex[2]: 254
2024/09/30 16:51:54 server[4] append entries successfully, rf.nextIndex[4]: 254
2024/09/30 16:51:54 server[2] append entries successfully, rf.nextIndex[2]: 256
2024/09/30 16:51:54 server[4] append entries successfully, rf.nextIndex[4]: 256
2024/09/30 16:51:54 server[2] append entries successfully, rf.nextIndex[2]: 261
2024/09/30 16:51:54 server[4] append entries successfully, rf.nextIndex[4]: 261
2024/09/30 16:51:54 server[2] append entries successfully, rf.nextIndex[2]: 263
2024/09/30 16:51:54 server[4] append entries successfully, rf.nextIndex[4]: 263
2024/09/30 16:51:54 server[2] append entries successfully, rf.nextIndex[2]: 268
2024/09/30 16:51:54 server[4] append entries successfully, rf.nextIndex[4]: 268
2024/09/30 16:51:54 server[2] append entries successfully, rf.nextIndex[2]: 270
2024/09/30 16:51:54 server[4] append entries successfully, rf.nextIndex[4]: 270
2024/09/30 16:51:55 server[4] append entries successfully, rf.nextIndex[4]: 270
2024/09/30 16:51:55 server[4] append entries successfully, rf.nextIndex[4]: 270
2024/09/30 16:51:55 server[3] append entries successfully, rf.nextIndex[3]: 270
2024/09/30 16:51:55 server[3] append entries successfully, rf.nextIndex[3]: 271
2024/09/30 16:51:55 server[4] append entries successfully, rf.nextIndex[4]: 271
2024/09/30 16:51:55 server[4] append entries successfully, rf.nextIndex[4]: 273
2024/09/30 16:51:55 server[3] append entries successfully, rf.nextIndex[3]: 273
2024/09/30 16:51:55 server[4] append entries successfully, rf.nextIndex[4]: 276
2024/09/30 16:51:55 server[3] append entries successfully, rf.nextIndex[3]: 276
2024/09/30 16:51:55 server[3] append entries successfully, rf.nextIndex[3]: 277
2024/09/30 16:51:55 server[4] append entries successfully, rf.nextIndex[4]: 277
2024/09/30 16:51:55 server[0] append entries successfully, rf.nextIndex[0]: 276
2024/09/30 16:51:55 server[0] append entries successfully, rf.nextIndex[0]: 278
2024/09/30 16:51:55 server[3] append entries successfully, rf.nextIndex[3]: 278
2024/09/30 16:51:56 server[3] append entries successfully, rf.nextIndex[3]: 280
2024/09/30 16:51:56 server[0] append entries successfully, rf.nextIndex[0]: 280
2024/09/30 16:51:56 server[0] append entries successfully, rf.nextIndex[0]: 281
2024/09/30 16:51:56 server[3] append entries successfully, rf.nextIndex[3]: 281
2024/09/30 16:51:56 server[3] append entries successfully, rf.nextIndex[3]: 285
2024/09/30 16:51:56 server[0] append entries successfully, rf.nextIndex[0]: 285
2024/09/30 16:51:56 server[3] append entries successfully, rf.nextIndex[3]: 286
2024/09/30 16:51:56 server[0] append entries successfully, rf.nextIndex[0]: 286
2024/09/30 16:51:56 server[3] append entries successfully, rf.nextIndex[3]: 289
2024/09/30 16:51:56 server[0] append entries successfully, rf.nextIndex[0]: 289
2024/09/30 16:51:56 server[3] append entries successfully, rf.nextIndex[3]: 290
2024/09/30 16:51:56 server[0] append entries successfully, rf.nextIndex[0]: 290
2024/09/30 16:51:56 server[0] append entries successfully, rf.nextIndex[0]: 294
2024/09/30 16:51:57 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:57 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:57 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:57 server[4] append entries successfully, rf.nextIndex[4]: 290
2024/09/30 16:51:57 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:57 server[4] append entries successfully, rf.nextIndex[4]: 290
2024/09/30 16:51:57 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:57 server[4] append entries successfully, rf.nextIndex[4]: 290
2024/09/30 16:51:57 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:57 server[4] append entries successfully, rf.nextIndex[4]: 291
2024/09/30 16:51:57 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:57 server[4] append entries successfully, rf.nextIndex[4]: 292
2024/09/30 16:51:57 server[0] append entries successfully, rf.nextIndex[0]: 290
2024/09/30 16:51:57 server[2] append entries successfully, rf.nextIndex[2]: 290
2024/09/30 16:51:57 server[2] append entries successfully, rf.nextIndex[2]: 290
2024/09/30 16:51:57 server[0] append entries successfully, rf.nextIndex[0]: 290
2024/09/30 16:51:57 server[0] append entries successfully, rf.nextIndex[0]: 291
2024/09/30 16:51:58 server[4] append entries successfully, rf.nextIndex[4]: 295
2024/09/30 16:51:58 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:58 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:58 server[4] append entries successfully, rf.nextIndex[4]: 295
2024/09/30 16:51:58 server[4] append entries successfully, rf.nextIndex[4]: 295
2024/09/30 16:51:58 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:58 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:58 server[4] append entries successfully, rf.nextIndex[4]: 295
2024/09/30 16:51:58 server[4] append entries successfully, rf.nextIndex[4]: 295
2024/09/30 16:51:58 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:58 server[0] append entries successfully, rf.nextIndex[0]: 295
2024/09/30 16:51:58 server[4] append entries successfully, rf.nextIndex[4]: 295
2024/09/30 16:51:58 server[0] append entries successfully, rf.nextIndex[0]: 296
2024/09/30 16:51:58 server[4] append entries successfully, rf.nextIndex[4]: 296
2024/09/30 16:51:59 server[4] append entries successfully, rf.nextIndex[4]: 299
2024/09/30 16:51:59 server[0] append entries successfully, rf.nextIndex[0]: 299
2024/09/30 16:51:59 server[4] append entries successfully, rf.nextIndex[4]: 300
2024/09/30 16:51:59 server[0] append entries successfully, rf.nextIndex[0]: 300
2024/09/30 16:51:59 server[0] append entries successfully, rf.nextIndex[0]: 300
2024/09/30 16:51:59 server[4] append entries successfully, rf.nextIndex[4]: 300
2024/09/30 16:51:59 server[4] append entries successfully, rf.nextIndex[4]: 301
2024/09/30 16:51:59 server[0] append entries successfully, rf.nextIndex[0]: 301
2024/09/30 16:51:59 server[0] append entries successfully, rf.nextIndex[0]: 301
2024/09/30 16:51:59 server[4] append entries successfully, rf.nextIndex[4]: 301
2024/09/30 16:51:59 server[0] append entries successfully, rf.nextIndex[0]: 301
2024/09/30 16:51:59 server[4] append entries successfully, rf.nextIndex[4]: 301
2024/09/30 16:51:59 server[4] append entries successfully, rf.nextIndex[4]: 302
2024/09/30 16:51:59 server[0] append entries successfully, rf.nextIndex[0]: 302
2024/09/30 16:51:59 server[4] append entries successfully, rf.nextIndex[4]: 302
2024/09/30 16:51:59 server[0] append entries successfully, rf.nextIndex[0]: 302
2024/09/30 16:51:59 server[4] append entries successfully, rf.nextIndex[4]: 302
2024/09/30 16:51:59 server[0] append entries successfully, rf.nextIndex[0]: 302
2024/09/30 16:52:00 server[0] append entries successfully, rf.nextIndex[0]: 303
2024/09/30 16:52:00 server[4] append entries successfully, rf.nextIndex[4]: 303
2024/09/30 16:52:00 server[4] append entries successfully, rf.nextIndex[4]: 303
2024/09/30 16:52:00 server[0] append entries successfully, rf.nextIndex[0]: 303
2024/09/30 16:52:00 server[4] append entries successfully, rf.nextIndex[4]: 303
2024/09/30 16:52:00 server[0] append entries successfully, rf.nextIndex[0]: 303
2024/09/30 16:52:00 server[4] append entries successfully, rf.nextIndex[4]: 304
2024/09/30 16:52:00 server[0] append entries successfully, rf.nextIndex[0]: 304
  ... Passed --  27.9  5 12394  288
PASS
ok  	github.com/Rookie-roob/6.824/src/kvraft	30.046s
